ANTIBIOTIC,ORGANISM,GENE,LOCATION
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Acinetobacter baumannii,rpoB,NA
Rifampicin,Aeromonas hydrophila,rpoB,NA
Rifampicin,Aeromonas hydrophila,rpoB,NA
Rifampicin,Aeromonas hydrophila,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus subtilis,rpoB,NA
Rifampicin,Bacillus velezensis,rpoB,NA
Rifampicin,Bacillus velezensis,rpoB,NA
Rifampicin,Bacillus velezensis,rpoB,NA
Rifampicin,Bacillus velezensis,rpoB,NA
Rifampicin,Bacillus velezensis,rpoB,NA
Rifampicin,Bacillus velezensis,rpoB,NA
Rifampicin,Bacillus velezensis,rpoB,NA
Rifampicin,Bartonella bacilliformis,rpoB,NA
Rifampicin,Bartonella bacilliformis,rpoB,NA
Rifampicin,Bartonella bacilliformis,rpoB,NA
Rifampicin,Bartonella bacilliformis,rpoB,NA
Rifampicin,Brucella abortus,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Brucella melitensis,rpoB,NA
Rifampicin,Clostridium saccharoperbutylacetonicum,rpoB,NA
Rifampicin,Clostridium saccharoperbutylacetonicum,rpoB,NA
Rifampicin,Clostridium saccharoperbutylacetonicum,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Deinococcus radiodurans,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecalis,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Enterococcus faecium,rpoB,NA
Rifampicin,Escherichia coli,rpoB,NA
Rifampicin,Escherichia coli,rpoB,NA
Rifampicin,Escherichia coli,rpoB,NA
Rifampicin,Escherichia coli,rpoB,NA
Rifampicin,Escherichia coli,rpoB,NA
Rifampicin,Escherichia coli,rpoB,NA
Rifampicin,Flavobacterium psychrophilum,rpoB,NA
Rifampicin,Flavobacterium psychrophilum,rpoB,NA
Rifampicin,Flavobacterium psychrophilum,rpoB,NA
Rifampicin,Flavobacterium psychrophilum,rpoB,NA
Rifampicin,Flavobacterium psychrophilum,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Haemophilus influenzae,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Helicobacter pylori,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Leuconostoc mesenteroides,rpoB,NA
Rifampicin,Listeria monocytogenes,rpoB,NA
Rifampicin,Mycobacterium africanum,rpoB,Sierra Leone
Rifampicin,Mycobacterium avium,rpoB,Belgium 
Rifampicin,Mycobacterium avium,rpoB,United States
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,NA
Rifampicin,Mycobacterium leprae,rpoB,Philippines 
Rifampicin,Mycobacterium leprae,rpoB,Thailand 
Rifampicin,Mycobacterium leprae,rpoB,United States 
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,Myanmar
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,NA
Rifampicin,Mycobacterium tuberculosis ,rpoB,Changchun in  China
Rifampicin,Mycobacterium tuberculosis ,rpoB,Santa Catarina in southern Brazil
Rifampicin,Mycobacterium tuberculosis ,rpoB,France
Rifampicin,Mycobacterium tuberculosis ,rpoB,Hong Kong
Rifampicin,Mycobacterium tuberculosis ,rpoB,New Delhi in  India
